jim7025,1500,4111111111111111,10,2020,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim8225,5,4111111111111111,12,2019,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim9225 ,101,4111111111111111,5,2022,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim7025,1500,4111111111111111,10,2020,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim8225,5,4111111111111111,12,2019,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim9225 ,101,4111111111111111,5,2022,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim7025,1500,4111111111111111,10,2020,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim8225,5,4111111111111111,12,2019,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim9225 ,101,4111111111111111,5,2022,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim7025,1500,4111111111111111,10,2020,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim8225,5,4111111111111111,12,2019,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim9225 ,101,4111111111111111,5,2022,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim7025,1500,4111111111111111,10,2020,Rick,Hunter,rick@sdf3.com,M5H-2N7
jim8225,5,4111111111111111,12,2019,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim9225 ,101,4111111111111111,5,2022,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim7025,1500,373511000000005,10,2020,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim8225,5,4111111111111111,12,2019,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim9225 ,101,4111111111111111,5,2022,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim7025,1500,4111111111111111,10,2020,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim8225,5,4111111111111111,12,2019,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim9225 ,101,4111111111111111,5,2022,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim7025,1500,4111111111111111,10,2020,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim8225,5,4111111111111111,12,2019,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim9225 ,101,4111111111111111,5,2022,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim7025,1500,4111111111111111,10,2020,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim8225,5,4111111111111111,12,2019,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim9225 ,101,4111111111111111,5,2022,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim7025,1500,5457490000008763,10,2020,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim8225,6,4111111111111111,12,2019,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim9225 ,101,4111111111111111,5,2022,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim7025,1500,4111111111111111,10,2020,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim8225,11,4111111111111111,12,2019,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim9225 ,101,4111111111111111,5,2022,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim7025,1500,4111111111111111,10,2020,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim8225,5,4111111111111111,12,2019,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim9225 ,101,4111111111111111,5,2022,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim7025,1500,4111111111111111,10,2020,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim8225,5,4111111111111111,12,2019,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim9225 ,101,4111111111111111,5,2022,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim7025,1500,4037112233000001,10,2020,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim8225,13,4111111111111111,12,2019,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim9225 ,101,4111111111111111,5,2022,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim7025,1500,4111111111111111,10,2020,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim8225,5,4111111111111111,12,2019,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim9225 ,101,4111111111111111,5,2022,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim7025,1500,4107857757053670,10,2020,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim8225,5,4111111111111111,12,2019,Rick,Hunter,rick@sdf3.com,M5H 2N2
jim9225 ,101,4111111111111118,5,2022,Rick,Hunter,rick@sdf3.com,M5H 2N2
